ÇÑ¸í¹¬,Á¤¿ëÁÖ,ÃÖ¾Æ¿µ,¹Î¿¬¾Æ,°­»ó¿ì,ÀÌÁÖÇü,³ë¿õ±â,ÃÖÀç¿µ,Á¤¿Á¶õ,È²È¿¼®,ÀÌ»ó¿õ,À¯ÁØ,ÃÖÀçÇõ,Á¶Á¤Âù,±è¿ø,ÃÖ±âÈ£,Á¤À±Çö,¹ÎÈ«,¿À¿µ¹Î,Â÷¿µ¿î,±èÃ¶¿¬,Àü¿µÃ¶
0,0,1,2,1,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,1,2,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,2,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
1,0,3,0,1,1,1,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0
1,1,2,1,0,2,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
1,1,1,0,2,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,1,0,1,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0
0,1,1,1,2,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2,1,0,1,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0
0,0,1,1,1,0,1,1,0,2,2,0,1,1,1,0,0,0,0,0,0,0
0,1,0,2,2,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,1,4,1,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0
0,1,4,1,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0
0,1,3,2,0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
1,0,2,2,0,0,2,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0
0,1,2,3,1,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
0,1,1,0,1,0,0,1,0,1,1,0,3,1,1,0,0,0,0,0,0,0
0,2,1,0,1,1,2,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0
0,0,1,0,1,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0
1,0,1,0,0,0,3,1,1,0,0,1,2,0,0,0,0,1,0,0,0,0
0,1,0,0,1,1,0,1,0,0,2,1,3,1,1,0,0,0,0,0,0,0
0,0,1,3,0,2,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,0
0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
0,0,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0
0,0,2,0,1,2,0,2,1,0,1,0,1,1,0,0,1,0,0,0,0,0
0,1,2,0,2,0,0,0,0,0,2,1,0,2,0,1,0,0,1,0,0,0
0,1,0,0,0,0,3,0,2,0,0,2,1,1,1,0,0,1,0,0,0,0
0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0
0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
1,1,0,1,0,0,2,0,2,0,0,0,2,1,0,0,1,0,0,0,1,0
0,0,0,0,0,1,0,2,0,0,1,0,2,0,0,3,1,0,2,0,0,0
0,0,3,0,1,3,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
0,2,1,1,0,2,2,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0
1,2,1,0,1,2,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
1,1,2,0,0,0,1,0,1,3,1,0,2,0,0,0,0,0,0,0,0,0
0,0,2,1,2,0,2,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0
1,0,1,0,2,1,1,1,0,2,1,0,0,2,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,2
0,1,2,0,0,0,2,0,1,0,1,3,1,0,1,0,0,0,0,0,0,0
1,0,1,1,0,1,2,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0
0,1,2,0,0,0,3,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0
0,0,1,0,0,0,1,0,3,0,0,3,1,0,2,0,0,1,0,0,0,0
0,1,2,0,0,0,0,0,3,0,1,3,1,0,1,0,0,0,0,0,0,0
0,1,2,2,0,0,1,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0
1,1,2,2,0,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0
1,0,2,1,1,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
0,0,1,0,2,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0
0,1,2,0,2,1,1,0,0,0,2,1,0,3,0,2,0,1,1,0,0,1
0,0,0,0,1,0,3,0,2,0,0,2,1,1,1,0,0,0,0,0,1,0
1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0
0,0,1,3,0,2,0,0,1,2,0,0,1,1,1,0,0,0,0,0,0,0
0,0,1,0,2,0,2,1,1,2,0,2,0,1,0,0,0,0,0,0,0,0
0,0,2,1,1,1,0,2,1,0,0,0,3,0,0,0,1,0,0,0,0,0
1,1,0,0,1,2,2,1,0,0,2,1,0,0,0,0,0,0,1,0,0,0
