순번,학수번호,교과명,교수성명,점수,소속학과,구분,영역,outline,goal,keyword
1,11937009,고전과 트랜스 미디어 스토리텔링의 이해,최성실,95,가천리버럴아츠칼리지,교양,인간과예술,"이 수업은 스토리텔링, 즉 이야기의 특성을 이해하고 수강자 스스로 참여하여 향유할 수 있는 자세를 갖추고 있어야 한다. 이를 기반으로 고전 작품을 통해 분석하고 현대 미디어 예술(영화, 드라마, 웹툰, 미술품, 음악 등)에 적용하여 이해할 수 있는 역량이 필요하다. 수업을 통해 배운 내용들을 적극적으로 활용할 수 있는 '움직이는 미디어 스토리텔링' 수용자의 즐겨움을 비판적으로 공유, 훈련하는 수업이다.","이 수업은 수강자 스스로 스토리텔링의 매력이 무엇인가를 고전을 통해 분석하고 익혀서, 일상의 미디어를 통해 적극적으로 활용하는 것을 목적으로 한다. 또한 수동적인 미디어 스토리텔링의 소비자가 아니라 예술적이고 비판적인 안목을 길러 자발적이고 능동적인 이야기 향유자의 기본적인 자질을 기르고자 한다. 따라서 '이야기'의 매력에 풍덩 빠질 준비가 되어 있는 수강자들에게 이론과 분석의 인지적 능력을 함양것을 목적으로 한다. '나'의 이야기, 내 것인 이야기, 그래서 모두의 이야기가 될 수 있는 이야기 자질을 배우고 활용할 수 있는 '미디어 스토리텔링의 인재'가 되어 보자.",
2,13547001,교양심리학,백연지,92.6,특수치료학과,교양,인간과예술,"심리학이란 인간의 행동과 관련된 생리적, 심리적, 사회적 과정을 연구하는 분야이며, 현대사회에서 심리학은 거의 모든 분야에서 적용되고 활용되고 있다. 본 수업에서는 과학적인 방법을 통해 인간의 행동 및 정신과정을 이해하고 이에 관여하는 기제를 여러 가지 관점에서 살펴본다. 심리학의 정의와 역사를 이해하고, 심리학에서 사용되는 학술용어들과 연구방법들을 소개하여 일상생활에서 찾아볼 수 있는 심리학 현상들에 대해 알아본다.",1. 심리학에 대한 정의와 역사를 이해 2. 심리학 연구에서 사용되는 다양한 행동학적 및 뇌 연구방법 이해 3. 인간 행동에 대한 다양한 기제 및 관점 이해 4. 심리학 기초 이론을 통해 일상생활에서 접할 수 있는 심리학적 현상 이해,
3,10101002,글로벌시대의 문제해결방법,김혜정,90.4,유아교육학과,교양,인간과예술,인간의 삶은 다양한 문제에 직면하고 해결하는 의사결정의 연속이라 할 수 있다. 최근 급속한 테크놀로지의 발달로 현대인들은 이전에 접해 본 적이 없는 고도로 복잡한 문제에 직면하고 있으며 어떻게 이러한 문제를 해결하고 의사결정을 하는가에 따라 개인과 조직의 성과는 크게 달라지기 때문에 고차적 사고기술로서 문제해결기법을 온전히 습득하는 것은 매우 중요하다. 문제해결이란 단지 당면한 문제를 해결하는 것뿐만이 아니라 사고를 확장하여 폭넓게 문제를 파악하거나 앞으로 발생할 일을 예측하는 한편 최적의 해결안을 고안하고 적용하는 것을 의미한다. 본 강좌는 직면하는 다양한 문제를 효율적으로 해결하고 대안을 선택하는 의사결정 능력을 고양하는 방법을 습득하도록 하여 글로벌 시대의 리더로서 역량을 기르는데 목적이 있다. 따라서 인간사고의 이해 및 문제해결에 관한 기본적 이론과 문제해결 프로세스를 학습하고 실천함으로서 지식을 내면화할 수 있도록 구성되어 있다,"본 강의를 수강한 후 학생들은 다음과 같은 능력을 성취할 수 있다. 1. 인간의 사고 특성과 문제의 개념을 이해하고 설명할 수 있다. 2. 문제해결의 절차와 방법을 알고 자신의 학습에 적용할 수 있다. 3. 문제해결을 촉진하는 다양한 기법을 활용하여 자신의 문제를 해결할 수 있다. 4. 팀 학습을 통하여 협력적 태도와 자기주도적 학습력, 커뮤니케이션 능력을 향상할 수 있다.",
4,11935009,내러티브와 매체,권승태,95.4,자유전공학부,교양,인간과예술,매체와 내러티브에 대한 기본 지식을 습득한 후 다양한 미디어의 스토리텔링에 대해 학습하고 학생 스스로 미디어를 선택해 스토리텔링 실습을 해 본다.,내러티브와 매체를 이해하고 다양한 미디어 스토리텔링을 학습하여 자신만의 미디어 스토리텔링을 직접 실습한다.,
5,12400002,논어와 21세기,백승수,93,교육학과,교양,인간과예술,일생동안 누구나 한 번 쯤은 <논어>를 읽고자 시도한다. 그러나 혼자 읽기에는 이해하기가 쉽지 않은 고전이다. 그래서 수업 등을 통해 함께 읽으면 효과적이고 재미있게 읽을 수 있다. 이 과목은 한문을 잘 모르는 한글 세대가 <논어>를 쉽게 이해할 수 있도록 사례를 중심으로 <논어>의 핵심 내용을 탐구한다. 특히 나를 나답게 해주고 한 인간으로서 인간다운 삶을 살게 해주는 인생의 지혜를 터득하는 데 힘쓴다. <논어>는 언제나 새롭게 읽혀지는 지혜의 보고이다,"논어'에 나타난 인생의 지혜,사람됨의 의미 그리고 진정한 공부의 의미에 대하여 이해한다. - 스스로 생각하는 힘을 기르고 자율적인 존재로서 인간다운 삶의 길을 열어갈 수 있는 지혜를 쌓는다. - “내 마음 속 논어 한 구절”을 발견하고 생활 속에서 활용할 수 있다.",
6,13466002,동서양의지혜,한상연,94.1,가천리버럴아츠칼리지,교양,인간과예술,"이 강의의 주안점은 고대 사상의 이해에 놓여 있다.. 오늘날에도 고대의 사상이 중요한 이유는 인간의 삶과 존재에 대한 근원적인 성찰들이 이미 고대에 이루어졌기 때문이다. 이 강의를 통해 학생들은 동양과 서양의 문화적 차이의 원인이 무엇인지, 그리고 시대와 장소를 초월하는 보편적 가치의 근거가 무엇인지 성찰할 기회를 지니게 될 것이다.","1. 철학적 사유의 발전을 위해 중요한 고대 사상가들의 문제의식과 논점을 고찰해본다. 2. 철학의 이해를 위해 기본적이고도 필수적인 지식을 익히고, 철학이 삶과 역사를 위해 지니는 의미에 관해 반추해본다. 3. 논리적 사고 능력을 함양한다.",
7,13466014,동서양의지혜,이규완,92,자유전공학부,교양,인간과예술,"서구 중심적인 오리엔탈리즘 관점에서의 동양사상이 아니라, 상응하는 서구사상을 비교해 가면서 내적이고 주체적인 관점에서 아시아사상을 중심으로 다양하고 풍부한 전통과 역사를 개괄한다.","동아시아를 넘어 범아시아를 포괄하는 다양한 사상의 흐름에 대한 개략적인 이해를 증진하고, 자아, 사랑, 욕망, 선과 악, 사회, 국가 등 다양한 철학적 주제들을 동서양의 지혜를 통해 탐구해 본다.",
8,13465002,디자인 씽킹,육호준,95,미술·디자인학부(디자인),교양,인간과예술,"다양한 목표, 다양한 경험, 다양한 생각을 통해 인문적 지식을 습득하며 모든 산업의 최종단계 Design을 통해 이를 학습한다. 즉 인간 을 관찰하고 공감하여 소비자를 이해한 뒤, 다양한 대안을 찾는 확산적 사고와, 주어진 상황에 최선의 방법을 찾는 수렴적 사고의 반복 을 통하여 혁신적 결과를 내는 창의적 문제 해결 방법을 학습하기위한 기제로서 디자인 씽킹을 학습한다.","인문학, 예술, 과학, 기술이 융합되어서 시대를 뛰어넘는 새로운 아이디어와 구체적, 예술적, 과학기술적 산물을 창출했던 르네상스 ‘다 빈치적 인물’, ‘팔방미인’, ‘르네상스형 인재’ 그리고 국내의 경우는 ‘다산 정약용 같은..’ 소위 만능형 인재를 키우자는 요구의 증가하고 있다. 이에 혁신, 파괴, 창조하 는 사람을 만드는 방법론이며 혁신적 사고의 방법론인 디자인 씽킹이 필요하다.디자인 씽킹을 학습함으 로서 다음 3가지 소양을 함양한다. 창의성 (Creative) 다양한 사고의 합의 분석적 접근 (Analytical approaches) 비판적 시각과 논리적 시각을 통한 관찰력 협력 (Collaboration) 소통력과 수렴, 의견 통합 능력",
9,12717014,문학과 캐릭터 스튜디오,이윤지,94.8,한국학전공,교양,인간과예술,이 수업은 잠재된 감성과 사고를 시각적으로 표현하고 계획하는 능력을 배양합니다. 개개인의 다양한 경험과 문화적 배경을 토대로 창의적 사고와 발상을 드로잉으로 표현하는 수업방식입니다.,"이 수업의 목표 중 하나는 문학을 통한 시각적 스토리텔링의 교류가 얼마나 풍부하고 폭이 넓은지 보여주는 것이며, 또 다른 목표는 자신의 틀 안에서 벗어나게 해주는 것입니다. 창의적 발상의 구체적 시각화를 통한 자기표현과 정서적 함양을 목표로 합니다.",
10,12717002,문학과 캐릭터 스튜디오,이원우,91.2,미술·디자인학부(회화·조소),교양,인간과예술,"어느 때보다 창조적인 능력이 중요한 시대에, 작품을 통해 자신을 표현하는 미술작가들을 살펴보고, 직접 자신의 작품을 제작 해보며 창조적인 능력을 개발하는 수업이다. 문학작품을 바탕으로 미술적 표현을 연구하는 스튜디오 베이스의 수업에 집중한다. 스튜디오를 사용할 수 없는 장소의 제약이 있지만, 주어진 조건을 활용하여 가능한 범위 안에서 다양한 미술표현을 경험해보고자 한다. 수업은 현대미술의 흐름을 살펴보고, 자신의 작품을 제작하며 생각과 감정을 표현하는 연습을 진행한다. 이때 문학작품은 각자의 작업이 시작될 수 있는 출발점이며, 각자의 관점으로 문학 작품 속의 캐릭터를 분석하고, 자신이 그려내는 이미지를 구체화시켜 보는 연습을 통해 자신만의 미술적 표현방법을 함양하고자 한다. 또한 직접 손을 사용하여 작품을 제작하는 작업은 가장 기초적인 미술 표현 방법으로, 추후 다양한 다른 미술 매체와 표현 수단을 발전시킬 수 있는 발판이 될 것이다. 미술작품에 자신의 감정과 생각을 담아 내는 과정은 자신의 표현이 점차 중요해지는 시대에 자신을 표현하는 자신만의 표현 방법을 고찰해 볼 수 있는 기회가 될 것이다.","-미술을 접해보지 않은 비전공 학생들과 함께 진행하는 수업으로, 간단한 입문 수준의 쉬운 실기 수업으로 진행하는 것을 시작으로, 미술에 대한 관심을 유발하고, 개별적 관심에 따라 심화시킬 수 있고자 한다. -문학적 텍스트를 바탕으로 시작하여, 자신의 손으로 작품을 만들어 보는 것을 목표로 한다. -머리로 사고하고, 가슴으로 느끼고, 손으로 작품을 제작하는 스튜디오 수업을 통해, 사고를 확장하고 유연한 태도를 발전시키며, 자신의 생각을 표출하는 유니크한 자신만의 방법을 정립하고자 한다. -현대미술의 중요한 흐름을 살펴보고, 문화전반의 흐름에 대해서도 고찰 해볼 수 있는 수업을 지향한다.'",
