순번,학수번호,교과명,교수성명,점수,소속학과,구분,Unnamed: 7,outline,goal,keyword
1,9805001,객체지향프로그래밍,노웅기,87.6,AI·소프트웨어학부(소프트웨어전공),전공,,이 과정에서는 Java 프로그래밍 언어를 사용한 객체 지향 프로그래밍의 기본 개념을 소개합니다.,- 객체지향적 원리 이해 - 흥미로운 주제에 대한 프로그래밍을 통해 프로그래밍 능력을 강화 - 모바일 프로그래밍을 포함한 광범위한 프로그래밍 영역을 경험하기 위해 - 학생들의 학습으로 정보를 찾고 문제를 해결하기 위해',"프로그래밍, 4/"
2,9805003,객체지향프로그래밍,최재혁,97.0,AI·소프트웨어학부(소프트웨어전공),전공,,"객체 지향 프로그래밍을 소개합니다. 클래스 및 객체가 있는 구조화된 설계의 기본 사항에 초점을 맞춥니다. 개발, 테스트, 구현 및 문서화를 포함합니다.",1. 객체 지향 개념을 이해하고 사용하여 재사용 가능하고 안정적이며 유지 관리 가능한 소프트웨어 2. Java 프로그래밍 언어를 사용하여 문제 해결,"객체, 2/사용, 2/"
3,13053001,데이터과학,김원,92.8,AI·소프트웨어학부,전공,,"이 과정에서는 빅데이터 및 머신러닝 프로젝트의 엔드 투 엔드 프로세스에 대해 중점적으로 설명합니다. 이 프로세스에는 데이터 큐레이션, 데이터 탐색, 데이터 전처리, 데이터 마이닝 알고리즘 사용 및 결과 평가가 포함됩니다.",이 과정의 목적은 학생들에게 데이터 전처리에 중점을 두고 빅 데이터와 머신러닝 프로젝트의 엔드 투 엔드 프로세스에 대한 느낌을 주는 것이다. 이 과정의 이 부분이 빅데이터와 머신러닝 프로젝트의 궁극적인 성패를 결정합니다.,"데이터, 6/엔드, 4/과정, 3/머신, 3/러닝, 3/프로젝트, 3/프로세스, 3/중점, 2/처리, 2/"
4,13053002,데이터과학,노웅기,94.4,AI·소프트웨어학부(소프트웨어전공),전공,,이 과정에서는 파이썬 기반 오픈 소스 도구를 이용한 데이터 과학과 빅 데이터 분석에 대한 기본 개념을 소개한다.,데이터 사이언스 프로세스 - 데이터 전처리 - 데이터 마이닝 알고리즘 - 데이터 사이언스를 위한 파이썬 코딩'을 배우게 될 것이다.',"데이터, 4/파이썬, 2/사이언스, 2/"
5,13177001,딥러닝,황효석,95.2,AI·소프트웨어학부(소프트웨어전공),전공,,이 과정의 목표는 딥 러닝에 대한 소개를 제공하는 것입니다.',"딥 러닝의 기본 개념을 학습하라 다양한 아키텍처, 즉 컨볼루션 신경망, 반복 신경망 및 생성적 적대 네트워크를 학습한다. Tensorflow 및 Pytorch를 사용한 연습","러닝, 2/학습, 2/신경망, 2/"
6,9031001,멀티미디어및실습,정용주,91.5,AI·소프트웨어학부(소프트웨어전공),전공,,- 멀티미디어는 현대 컴퓨터 기술에서 없어서는 안 될 부분이 되었다. - 이 강좌에서 학생들은 멀티미디어 시스템 설계와 실제 경험의 원리와 현재 기술을 배울 것이다.',"이 과정에서는 소리, 이미지, 비디오, 하드웨어 및 소프트웨어 구성 요소와 멀티미디어에서의 상호 작용의 필요성을 포함한 다양한 미디어 요소를 소개합니다. 특히, 이 강좌는 많은 프로그래밍 랩을 수행함으로써 이미지 처리와 컴퓨터 비전 기술에 초점을 맞춘다. 이와 관련된 기초 기술을 도입함으로써, 학생들의 상상력과 창의력을 계발할 수 있도록 돕고 장려하는 것을 목표로 하고 있습니다.","기술, 4/멀티미디어, 3/강좌, 2/학생, 2/이미지, 2/"
7,13247001,센서와 무선 네트워크,최재혁,99.2,AI·소프트웨어학부(소프트웨어전공),전공,,"사물 인터넷(IoT)은 네트워킹, 감지, 빅데이터 및 인공지능 기술을 활용하여 제품 또는 서비스에 대한 완벽한 시스템을 제공하는 고급 자동화 및 분석 시스템입니다. 이 과정에서는 사물인터넷(IoT)의 다양한 주제에 대해 연구할 것입니다. 여기에는 이러한 종류의 장치를 만드는 데 사용되는 기술, 통신 방법, 데이터 저장 방법, 그리고 이러한 장치를 지원하는 데 필요한 분산 시스템의 종류가 포함됩니다.","이 과정의 전반적인 목표는 처음부터 IoT 시스템을 구축할 수 있도록 지원하는 것입니다. 또한 IoT를 활성화하기 위해 사용되는 무선 통신의 다양한 주제에 대해 공부하게 될 것입니다. 이 과정 동안, 여러분은 여러분이 접하게 될 다양한 종류의 사물인터넷 시스템을 배우고, 대표적인 기술을 사용하여 사물인터넷 시스템을 만들 것입니다.","시스템, 6/기술, 3/과정, 3/사물, 3/인터넷, 3/종류, 3/사용, 3/데이터, 2/주제, 2/장치, 2/방법, 2/지원, 2/"
8,10177001,소프트웨어공학,정옥란,94.3,AI·소프트웨어학부(소프트웨어전공),전공,,"소프트웨어 공학은 인류의 미래를 위해 매우 중요한 기술이며, 이제 이 과정에서는 전체 주제를 다루기가 불가능할 정도로 거대한 분야이다. 이 과정에서는 모든 개발 프로세스에 필수적인 중요한 주제와 유용한 소프트웨어 테스트 도구가 있는 신뢰할 수 있는 분산형 시스템 개발에 관련된 주제를 가르칩니다.","이 과정은 소프트웨어 테스트 기술, 구성 관리, 프로젝트 관리 등을 포함한 소프트웨어 프로세스 모델, 사양 및 설계 기술을 가르칩니다. 이 과정을 성공적으로 이수하는 학생은 유효한 소프트웨어를 효율적인 코드로 변환하는 과정을 시연하고 소프트웨어 테스트를 실행할 수 있습니다.","과정, 5/기술, 3/주제, 3/소프트웨어 테스트, 3/개발, 2/프로세스, 2/소프트웨어, 2/"
9,13221002,소프트웨어산업세미나,정용주,96.0,AI·소프트웨어학부(소프트웨어전공),전공,,"이 수업은 학생들이 소프트웨어가 핵심 역할을 하는 산업들과 그 산업에 속한 기업들에 대해 조사하고 report을 작성하여 제출한다. 산업에는 IT서비스, 스마트폰, 자율주행, 게임, 보안, 통신, 운수, 물류, 등등이 있다,",학생들이 4학년에 시작할 진로 탐색 및 조사에 대한 사전 훈련의 기회를 제공한다. 구직활동의 시작은 자기소개서 작성이다. 자기소개서 작성을 잘하려면 글쓰기 훈련이 필요하다. 이 수업에서 report을 작성하면서 글쓰기 훈련도 겸한다. 또한 그동안 수업시간에 배운 전공 수업이 기업에서 어떻게 적용되는지도 일깨워 준다.',"수업, 4/작성, 4/산업, 3/훈련, 3/학생, 2/기업, 2/조사, 2/시작, 2/소개서, 2/글쓰기, 2/"
10,13221002,소프트웨어산업세미나,강상우,95.8,AI·소프트웨어학부(소프트웨어전공),전공,,"이 수업은 학생들이 소프트웨어가 핵심 역할을 하는 산업들과 그 산업에 속한 기업들에 대해 조사하고 report을 작성하여 제출한다. 산업에는 IT서비스, 스마트폰, 자율주행, 게임, 보안, 통신, 운수, 물류, 등등이 있다,",학생들이 4학년에 시작할 진로 탐색 및 조사에 대한 사전 훈련의 기회를 제공한다. 구직활동의 시작은 자기소개서 작성이다. 자기소개서 작성을 잘하려면 글쓰기 훈련이 필요하다. 이 수업에서 report을 작성하면서 글쓰기 훈련도 겸한다. 또한 그동안 수업시간에 배운 전공 수업이 기업에서 어떻게 적용되는지도 일깨워 준다.',"수업, 4/작성, 4/산업, 3/훈련, 3/학생, 2/기업, 2/조사, 2/시작, 2/소개서, 2/글쓰기, 2/"
